,x,y,label,waving
77,0.5356757,0.5356757,10,0
78,0.3197408,0.3197408,5,0
79,0.3306464,0.3306464,6,0
80,0.44592702,0.44592702,7,0
81,0.47735447,0.47735447,8,0
82,0.32045633,0.32045633,9,0
83,0.5356757,0.5356757,10,0
84,0.3197408,0.3197408,5,0
85,0.3306464,0.3306464,6,0
86,0.44592702,0.44592702,7,0
87,0.47735447,0.47735447,8,0
88,0.32045633,0.32045633,9,0
89,0.5356757,0.5356757,10,0
90,0.3197408,0.3197408,5,0
91,0.3306464,0.3306464,6,0
92,0.44592702,0.44592702,7,0
93,0.47735447,0.47735447,8,0
94,0.32045633,0.32045633,9,0
95,0.5356757,0.5356757,10,0
96,0.3197408,0.3197408,5,0
97,0.3306464,0.3306464,6,0
98,0.44592702,0.44592702,7,0
99,0.47735447,0.47735447,8,0
100,0.32045633,0.32045633,9,0
101,0.5356757,0.5356757,10,0
102,0.3197408,0.3197408,5,0
103,0.3306464,0.3306464,6,0
104,0.44592702,0.44592702,7,0
105,0.47735447,0.47735447,8,0
106,0.32045633,0.32045633,9,0
107,0.5356757,0.5356757,10,0
108,0.3197408,0.3197408,5,0
109,0.3306464,0.3306464,6,0
110,0.44592702,0.44592702,7,0
111,0.47735447,0.47735447,8,0
112,0.32045633,0.32045633,9,0
113,0.5356757,0.5356757,10,0
114,0.3197408,0.3197408,5,0
115,0.3306464,0.3306464,6,0
116,0.44592702,0.44592702,7,0
117,0.47735447,0.47735447,8,0
118,0.32045633,0.32045633,9,0
119,0.5356757,0.5356757,10,0
120,0.3197408,0.3197408,5,0
121,0.3306464,0.3306464,6,0
122,0.44592702,0.44592702,7,0
123,0.47735447,0.47735447,8,0
124,0.32045633,0.32045633,9,0
125,0.5356757,0.5356757,10,0
126,0.3197408,0.3197408,5,0
127,0.3306464,0.3306464,6,0
128,0.44592702,0.44592702,7,0
129,0.47735447,0.47735447,8,0
130,0.32045633,0.32045633,9,0
131,0.5356757,0.5356757,10,0
132,0.3197408,0.3197408,5,0
133,0.3306464,0.3306464,6,0
134,0.44592702,0.44592702,7,0
135,0.47735447,0.47735447,8,0
136,0.32045633,0.32045633,9,0
137,0.5356757,0.5356757,10,0
138,0.3197408,0.3197408,5,0
139,0.3306464,0.3306464,6,0
140,0.44592702,0.44592702,7,0
141,0.47735447,0.47735447,8,0
142,0.32045633,0.32045633,9,0
143,0.5356757,0.5356757,10,0
144,0.3197408,0.3197408,5,0
145,0.3306464,0.3306464,6,0
146,0.44592702,0.44592702,7,0
147,0.47735447,0.47735447,8,0
148,0.32045633,0.32045633,9,0
149,0.5356757,0.5356757,10,0
150,0.3197408,0.3197408,5,0
151,0.3306464,0.3306464,6,0
152,0.44592702,0.44592702,7,0
153,0.47735447,0.47735447,8,0
154,0.32045633,0.32045633,9,0
155,0.5356757,0.5356757,10,0
156,0.3197408,0.3197408,5,0
157,0.3306464,0.3306464,6,0
158,0.44592702,0.44592702,7,0
159,0.47735447,0.47735447,8,0
160,0.32045633,0.32045633,9,0
161,0.5356757,0.5356757,10,0
162,0.3197408,0.3197408,5,0
163,0.3306464,0.3306464,6,0
164,0.44592702,0.44592702,7,0
165,0.47735447,0.47735447,8,0
166,0.32045633,0.32045633,9,0
167,0.5356757,0.5356757,10,0
168,0.3197408,0.3197408,5,0
169,0.3306464,0.3306464,6,0
170,0.44592702,0.44592702,7,0
171,0.47735447,0.47735447,8,0
172,0.32045633,0.32045633,9,0
173,0.5356757,0.5356757,10,0
174,0.3197408,0.3197408,5,0
175,0.3306464,0.3306464,6,0
176,0.44592702,0.44592702,7,0
177,0.47735447,0.47735447,8,0
178,0.32045633,0.32045633,9,0
179,0.5356757,0.5356757,10,0
180,0.3197408,0.3197408,5,0
181,0.3306464,0.3306464,6,0
182,0.44592702,0.44592702,7,0
183,0.47735447,0.47735447,8,0
184,0.32045633,0.32045633,9,0
185,0.5356757,0.5356757,10,0
186,0.3197408,0.3197408,5,0
187,0.3306464,0.3306464,6,0
188,0.44592702,0.44592702,7,0
189,0.47735447,0.47735447,8,0
190,0.32045633,0.32045633,9,0
191,0.5356757,0.5356757,10,0
192,0.3197408,0.3197408,5,0
193,0.3306464,0.3306464,6,0
194,0.44592702,0.44592702,7,0
195,0.47735447,0.47735447,8,0
196,0.32045633,0.32045633,9,0
197,0.5356757,0.5356757,10,0
198,0.3197408,0.3197408,5,0
199,0.3306464,0.3306464,6,0
200,0.44592702,0.44592702,7,0
201,0.47735447,0.47735447,8,0
202,0.32045633,0.32045633,9,0
203,0.5356757,0.5356757,10,0
204,0.3197408,0.3197408,5,0
205,0.3306464,0.3306464,6,0
206,0.44592702,0.44592702,7,0
207,0.47735447,0.47735447,8,0
208,0.32045633,0.32045633,9,0
209,0.5356757,0.5356757,10,0
210,0.3197408,0.3197408,5,0
211,0.3306464,0.3306464,6,0
212,0.44592702,0.44592702,7,0
213,0.47735447,0.47735447,8,0
214,0.32045633,0.32045633,9,0
215,0.5356757,0.5356757,10,0
216,0.3197408,0.3197408,5,0
217,0.3306464,0.3306464,6,0
