,x,y,label,waving,,,,,,,,,,,,
174,0.28444844,0.28444844,5,0,,,,,,,,,,,,
175,0.29551953,0.29551953,6,0,,,,,,,,,,,,
176,0.4022784,0.4022784,7,0,,,,,,,,,,,,
177,0.3919822,0.3919822,8,0,,,,,,,,,,,,
178,0.51671505,0.51671505,9,0,,,,,,,,,,,,
179,0.30027875,0.30027875,10,0,,,,,,,,,,,,
180,0.28444844,0.28444844,5,0,,,,,,,,,,,,
181,0.29551953,0.29551953,6,0,,,,,,,,,,,,
182,0.4022784,0.4022784,7,0,,,,,,,,,,,,
183,0.3919822,0.3919822,8,0,,,,,,,,,,,,
184,0.51671505,0.51671505,9,0,,,,,,,,,,,,
185,0.30027875,0.30027875,10,0,,,,,,,,,,,,
186,0.28444844,0.28444844,5,0,,,,,,,,,,,,
187,0.29551953,0.29551953,6,0,,,,,,,,,,,,
188,0.4022784,0.4022784,7,0,,,,,,,,,,,,
189,0.3919822,0.3919822,8,0,,,,,,,,,,,,
190,0.51671505,0.51671505,9,0,,,,,,,,,,,,
191,0.30027875,0.30027875,10,0,,,,,,,,,,,,
192,0.28444844,0.28444844,5,0,,,,,,,,,,,,
193,0.29551953,0.29551953,6,0,,,,,,,,,,,,
194,0.4022784,0.4022784,7,0,,,,,,,,,,,,
195,0.3919822,0.3919822,8,0,,,,,,,,,,,,
196,0.51671505,0.51671505,9,0,,,,,,,,,,,,
197,0.30027875,0.30027875,10,0,,,,,,,,,,,,
198,0.28444844,0.28444844,5,0,,,,,,,,,,,,
199,0.29551953,0.29551953,6,0,,,,,,,,,,,,
200,0.4022784,0.4022784,7,0,,,,,,,,,,,,
201,0.3919822,0.3919822,8,0,,,,,,,,,,,,
202,0.51671505,0.51671505,9,0,,,,,,,,,,,,
203,0.30027875,0.30027875,10,0,,,,,,,,,,,,
204,0.28444844,0.28444844,5,0,,,,,,,,,,,,
205,0.29551953,0.29551953,6,0,,,,,,,,,,,,
206,0.4022784,0.4022784,7,0,,,,,,,,,,,,
207,0.3919822,0.3919822,8,0,,,,,,,,,,,,
208,0.51671505,0.51671505,9,0,,,,,,,,,,,,
209,0.30027875,0.30027875,10,0,,,,,,,,,,,,
210,0.28444844,0.28444844,5,0,,,,,,,,,,,,
211,0.29551953,0.29551953,6,0,,,,,,,,,,,,
212,0.4022784,0.4022784,7,0,,,,,,,,,,,,
213,0.3919822,0.3919822,8,0,,,,,,,,,,,,
214,0.51671505,0.51671505,9,0,,,,,,,,,,,,
215,0.30027875,0.30027875,10,0,,,,,,,,,,,,
216,0.28444844,0.28444844,5,0,,,,,,,,,,,,
217,0.29551953,0.29551953,6,0,,,,,,,,,,,,
218,0.4022784,0.4022784,7,0,,,,,,,,,,,,
219,0.3919822,0.3919822,8,0,,,,,,,,,,,,
220,0.51671505,0.51671505,9,0,,,,,,,,,,,,
221,0.30027875,0.30027875,10,0,,,,,,,,,,,,
222,0.28444844,0.28444844,5,0,,,,,,,,,,,,
223,0.29551953,0.29551953,6,0,,,,,,,,,,,,
224,0.4022784,0.4022784,7,0,,,,,,,,,,,,
225,0.3919822,0.3919822,8,0,,,,,,,,,,,,
